table_top_k,table_threshold,column_top_k,column_threshold,table_precision,table_recall,table_f1,column_precision,column_recall,column_f1,mean_f1,mean_recall
2,0.5,3,0.6,0.657,0.8149000000000001,0.6929047619047619,0.5588333333333333,0.6887353174603175,0.5500203185703185,0.6214625402375402,0.7518176587301588
2,0.5,3,0.5,0.657,0.8149000000000001,0.6929047619047619,0.5445,0.6955075396825396,0.5494004773004773,0.6211526196026196,0.7552037698412699
2,0.5,3,0.3,0.657,0.8149000000000001,0.6929047619047619,0.5436666666666667,0.6955075396825396,0.549067143967144,0.6209859529359529,0.7552037698412699
2,0.5,3,0.4,0.657,0.8149000000000001,0.6929047619047619,0.5436666666666667,0.6955075396825396,0.549067143967144,0.6209859529359529,0.7552037698412699
1,0.3,3,0.6,0.822,0.6112000000000001,0.6753666666666667,0.5588333333333333,0.6887353174603175,0.5500203185703185,0.6126934926184926,0.6499676587301588
1,0.4,3,0.6,0.822,0.6112000000000001,0.6753666666666667,0.5588333333333333,0.6887353174603175,0.5500203185703185,0.6126934926184926,0.6499676587301588
1,0.3,3,0.5,0.822,0.6112000000000001,0.6753666666666667,0.5445,0.6955075396825396,0.5494004773004773,0.612383571983572,0.6533537698412699
1,0.4,3,0.5,0.822,0.6112000000000001,0.6753666666666667,0.5445,0.6955075396825396,0.5494004773004773,0.612383571983572,0.6533537698412699
2,0.4,3,0.6,0.61,0.8330666666666666,0.6747380952380951,0.5588333333333333,0.6887353174603175,0.5500203185703185,0.6123792069042069,0.760900992063492
1,0.3,3,0.3,0.822,0.6112000000000001,0.6753666666666667,0.5436666666666667,0.6955075396825396,0.549067143967144,0.6122169053169053,0.6533537698412699
1,0.3,3,0.4,0.822,0.6112000000000001,0.6753666666666667,0.5436666666666667,0.6955075396825396,0.549067143967144,0.6122169053169053,0.6533537698412699
1,0.4,3,0.3,0.822,0.6112000000000001,0.6753666666666667,0.5436666666666667,0.6955075396825396,0.549067143967144,0.6122169053169053,0.6533537698412699
1,0.4,3,0.4,0.822,0.6112000000000001,0.6753666666666667,0.5436666666666667,0.6955075396825396,0.549067143967144,0.6122169053169053,0.6533537698412699
2,0.4,3,0.5,0.61,0.8330666666666666,0.6747380952380951,0.5445,0.6955075396825396,0.5494004773004773,0.6120692862692863,0.7642871031746031
2,0.4,3,0.3,0.61,0.8330666666666666,0.6747380952380951,0.5436666666666667,0.6955075396825396,0.549067143967144,0.6119026196026196,0.7642871031746031
2,0.4,3,0.4,0.61,0.8330666666666666,0.6747380952380951,0.5436666666666667,0.6955075396825396,0.549067143967144,0.6119026196026196,0.7642871031746031
2,0.3,3,0.6,0.608,0.8334,0.6737047619047619,0.5588333333333333,0.6887353174603175,0.5500203185703185,0.6118625402375402,0.7610676587301588
1,0.5,3,0.6,0.826,0.6092000000000001,0.6733666666666667,0.5588333333333333,0.6887353174603175,0.5500203185703185,0.6116934926184926,0.6489676587301587
2,0.3,3,0.5,0.608,0.8334,0.6737047619047619,0.5445,0.6955075396825396,0.5494004773004773,0.6115526196026195,0.7644537698412699
2,0.3,3,0.3,0.608,0.8334,0.6737047619047619,0.5436666666666667,0.6955075396825396,0.549067143967144,0.6113859529359529,0.7644537698412699
